Position x, Position y, Velocity x, Velocity y
-0.6910, -0.0026, 0.0144, -0.0012, 2.0211
-0.6882, -0.0028, 0.0141, -0.0011, 2.0233
-0.6878, -0.0029, 0.0140, -0.0011, 2.0403
-0.6850, -0.0031, 0.0141, -0.0010, 2.0566
-0.6823, -0.0032, 0.0138, -0.0009, 2.0590
-0.6818, -0.0033, 0.0137, -0.0009, 2.0757
-0.6792, -0.0034, 0.0131, -0.0008, 2.0781
-0.6788, -0.0034, 0.0130, -0.0008, 2.0948
-0.6764, -0.0036, 0.0123, -0.0007, 2.1118
-0.6740, -0.0037, 0.0121, -0.0007, 2.1139
-0.6736, -0.0037, 0.0120, -0.0007, 2.1307
-0.6713, -0.0039, 0.0116, -0.0006, 2.1329
-0.6710, -0.0039, 0.0115, -0.0006, 2.1497
-0.6688, -0.0040, 0.0109, -0.0005, 2.1529
-0.6684, -0.0040, 0.0109, -0.0005, 2.1693
-0.6662, -0.0041, 0.0108, -0.0005, 2.1716
-0.6659, -0.0041, 0.0108, -0.0005, 2.1927
-0.6633, -0.0042, 0.0111, -0.0004, 2.2048
-0.6615, -0.0043, 0.0110, -0.0004, 2.2070
-0.6612, -0.0043, 0.0109, -0.0004, 2.2238
-0.6591, -0.0043, 0.0106, -0.0003, 2.2406
-0.6570, -0.0044, 0.0107, -0.0003, 2.2572
-0.6548, -0.0045, 0.0111, -0.0003, 2.2734
-0.6526, -0.0045, 0.0111, -0.0003, 2.2901
-0.6504, -0.0046, 0.0109, -0.0002, 2.3065
-0.6483, -0.0046, 0.0104, -0.0002, 2.3088
-0.6481, -0.0046, 0.0104, -0.0002, 2.3252
-0.6461, -0.0046, 0.0098, -0.0002, 2.3419
-0.6443, -0.0047, 0.0092, -0.0002, 2.3588
-0.6425, -0.0047, 0.0092, -0.0002, 2.3754
-0.6406, -0.0047, 0.0095, -0.0001, 2.3920
-0.6386, -0.0048, 0.0102, -0.0001, 2.4082
-0.6365, -0.0048, 0.0104, -0.0001, 2.4105
-0.6362, -0.0048, 0.0103, -0.0001, 2.4274
-0.6341, -0.0048, 0.0108, -0.0001, 2.4308
-0.6336, -0.0048, 0.0109, -0.0001, 2.4469
-0.6313, -0.0048, 0.0115, -0.0001, 2.4501
-0.6310, -0.0048, 0.0116, -0.0001, 2.4662
