Position x, Position y, Velocity x, Velocity y
0.2380, -0.0150, 0.0036, 0.0000, 2.7424
0.2388, -0.0150, 0.0039, 0.0000, 2.7588
0.2396, -0.0150, 0.0040, 0.0000, 2.7603
0.2396, -0.0150, 0.0040, 0.0000, 2.7767
0.2404, -0.0150, 0.0040, 0.0000, 2.7776
0.2405, -0.0150, 0.0040, 0.0000, 2.7944
0.2412, -0.0150, 0.0038, 0.0000, 2.7960
0.2413, -0.0150, 0.0038, 0.0000, 2.8127
0.2420, -0.0150, 0.0036, 0.0000, 2.8293
0.2427, -0.0150, 0.0034, 0.0000, 2.8322
0.2428, -0.0150, 0.0035, 0.0000, 2.8486
0.2436, -0.0150, 0.0038, 0.0000, 2.8652
0.2444, -0.0150, 0.0040, 0.0000, 2.8683
0.2445, -0.0150, 0.0040, -0.0001, 2.8847
0.2453, -0.0151, 0.0040, -0.0007, 2.8871
0.2454, -0.0152, 0.0040, -0.0007, 2.9037
0.2463, -0.0154, 0.0045, -0.0011, 2.9054
0.2464, -0.0154, 0.0045, -0.0011, 2.9221
0.2474, -0.0157, 0.0047, -0.0013, 2.9389
0.2484, -0.0160, 0.0053, -0.0014, 2.9410
0.2486, -0.0160, 0.0054, -0.0014, 2.9575
0.2497, -0.0163, 0.0056, -0.0015, 2.9743
0.2508, -0.0166, 0.0057, -0.0014, 2.9760
0.2510, -0.0166, 0.0057, -0.0014, 2.9928
0.2521, -0.0169, 0.0055, -0.0014, 3.0094
0.2531, -0.0171, 0.0053, -0.0013, 3.0126
0.2533, -0.0172, 0.0054, -0.0013, 3.0291
0.2544, -0.0174, 0.0057, -0.0012, 3.0314
0.2546, -0.0175, 0.0057, -0.0012, 3.0482
0.2558, -0.0177, 0.0057, -0.0011, 3.0511
0.2559, -0.0177, 0.0058, -0.0011, 3.0675
0.2572, -0.0179, 0.0062, -0.0010, 3.0690
0.2573, -0.0179, 0.0063, -0.0010, 3.0858
0.2586, -0.0181, 0.0064, -0.0009, 3.1025
0.2600, -0.0183, 0.0069, -0.0009, 3.1188
0.2614, -0.0185, 0.0071, -0.0008, 3.1209
0.2616, -0.0185, 0.0071, -0.0008, 3.1379
0.2631, -0.0186, 0.0077, -0.0007, 3.1546
0.2648, -0.0187, 0.0085, -0.0006, 3.1567
0.2650, -0.0188, 0.0085, -0.0006, 3.1734
0.2668, -0.0189, 0.0088, -0.0006, 3.1766
0.2671, -0.0189, 0.0089, -0.0006, 3.1931
0.2690, -0.0190, 0.0094, -0.0005, 3.1954
0.2693, -0.0190, 0.0094, -0.0005, 3.2122
0.2712, -0.0191, 0.0095, -0.0005, 3.2152
0.2715, -0.0191, 0.0096, -0.0005, 3.2317
0.2735, -0.0192, 0.0099, -0.0004, 3.2338
0.2738, -0.0192, 0.0099, -0.0004, 3.2509
0.2759, -0.0193, 0.0105, -0.0004, 3.2671
0.2780, -0.0194, 0.0107, -0.0003, 3.2701
0.2783, -0.0194, 0.0107, -0.0003, 3.2866
0.2805, -0.0194, 0.0111, -0.0003, 3.2889
0.2809, -0.0194, 0.0111, -0.0003, 3.3055
0.2831, -0.0195, 0.0110, -0.0003, 3.3225
0.2853, -0.0195, 0.0114, -0.0002, 3.3247
0.2857, -0.0195, 0.0113, -0.0002, 3.3414
0.2879, -0.0196, 0.0112, -0.0002, 3.3444
0.2883, -0.0196, 0.0113, -0.0002, 3.3608
0.2906, -0.0196, 0.0115, -0.0002, 3.3632
0.2909, -0.0196, 0.0114, -0.0002, 3.3800
0.2932, -0.0197, 0.0113, -0.0002, 3.3966
0.2955, -0.0197, 0.0115, -0.0002, 3.3987
0.2958, -0.0197, 0.0115, -0.0002, 3.4155
0.2980, -0.0197, 0.0113, -0.0001, 3.4185
0.2984, -0.0197, 0.0113, -0.0001, 3.4349
0.3007, -0.0198, 0.0115, -0.0001, 3.4370
0.3010, -0.0198, 0.0115, -0.0001, 3.4538
0.3033, -0.0198, 0.0113, -0.0001, 3.4707
0.3056, -0.0198, 0.0115, -0.0001, 3.4728
0.3059, -0.0198, 0.0115, -0.0001, 3.4899
0.3083, -0.0198, 0.0119, -0.0001, 3.4924
0.3087, -0.0198, 0.0119, -0.0001, 3.5091
0.3111, -0.0199, 0.0118, -0.0001, 3.5102
0.3113, -0.0199, 0.0118, -0.0001, 3.5269
0.3135, -0.0199, 0.0115, -0.0001, 3.5282
0.3137, -0.0199, 0.0115, -0.0001, 3.5448
0.3160, -0.0199, 0.0116, -0.0001, 3.5458
0.3162, -0.0199, 0.0115, -0.0001, 3.5627
0.3184, -0.0199, 0.0113, -0.0001, 3.5792
0.3206, -0.0199, 0.0109, -0.0001, 3.5825
0.3210, -0.0199, 0.0109, -0.0001, 3.5989
0.3233, -0.0199, 0.0115, 0.0000, 3.6001
0.3235, -0.0199, 0.0115, 0.0000, 3.6166
0.3258, -0.0199, 0.0116, 0.0000, 3.6176
0.3259, -0.0199, 0.0116, 0.0000, 3.6343
0.3282, -0.0199, 0.0114, 0.0000, 3.6365
0.3285, -0.0199, 0.0113, 0.0000, 3.6532
0.3306, -0.0199, 0.0109, 0.0000, 3.6698
0.3327, -0.0199, 0.0103, 0.0000, 3.6721
0.3330, -0.0199, 0.0103, 0.0000, 3.6888
0.3350, -0.0199, 0.0102, 0.0000, 3.6903
0.3352, -0.0200, 0.0102, 0.0000, 3.7070
0.3372, -0.0200, 0.0099, 0.0000, 3.7235
0.3391, -0.0200, 0.0095, 0.0000, 3.7402
0.3409, -0.0200, 0.0089, 0.0000, 3.7430
0.3412, -0.0200, 0.0089, 0.0000, 3.7596
0.3429, -0.0200, 0.0089, 0.0000, 3.7617
0.3432, -0.0200, 0.0089, 0.0000, 3.7784
0.3449, -0.0200, 0.0087, 0.0000, 3.7804
0.3451, -0.0200, 0.0086, 0.0000, 3.7971
0.3469, -0.0200, 0.0089, 0.0000, 3.8136
0.3486, -0.0200, 0.0088, 0.0000, 3.8169
0.3490, -0.0200, 0.0089, 0.0000, 3.8333
0.3508, -0.0200, 0.0092, 0.0000, 3.8349
0.3510, -0.0200, 0.0092, 0.0000, 3.8517
0.3528, -0.0200, 0.0091, 0.0000, 3.8686
0.3545, -0.0199, 0.0089, 0.0006, 3.8848
0.3563, -0.0197, 0.0091, 0.0010, 3.8857
0.3565, -0.0196, 0.0091, 0.0010, 3.9025
0.3583, -0.0194, 0.0090, 0.0013, 3.9188
0.3600, -0.0191, 0.0087, 0.0014, 3.9202
0.3601, -0.0191, 0.0087, 0.0014, 3.9370
0.3619, -0.0188, 0.0089, 0.0014, 3.9539
0.3638, -0.0185, 0.0094, 0.0014, 3.9700
0.3657, -0.0182, 0.0096, 0.0014, 3.9723
0.3659, -0.0182, 0.0096, 0.0014, 3.9894
0.3679, -0.0179, 0.0100, 0.0013, 4.0055
0.3699, -0.0177, 0.0100, 0.0013, 4.0070
0.3701, -0.0177, 0.0100, 0.0012, 4.0242
0.3721, -0.0173, 0.0098, 0.0018, 4.0405
0.3740, -0.0169, 0.0094, 0.0021, 4.0568
0.3757, -0.0164, 0.0089, 0.0023, 4.0580
0.3758, -0.0164, 0.0089, 0.0023, 4.0746
0.3775, -0.0160, 0.0083, 0.0023, 4.0912
0.3790, -0.0155, 0.0077, 0.0023, 4.0929
0.3792, -0.0155, 0.0077, 0.0023, 4.1093
0.3807, -0.0150, 0.0078, 0.0022, 4.1262
0.3823, -0.0146, 0.0082, 0.0021, 4.1426
0.3840, -0.0142, 0.0083, 0.0020, 4.1445
0.3842, -0.0142, 0.0083, 0.0020, 4.1611
0.3858, -0.0138, 0.0081, 0.0018, 4.1621
0.3859, -0.0138, 0.0081, 0.0018, 4.1787
0.3875, -0.0134, 0.0078, 0.0017, 4.1955
0.3890, -0.0131, 0.0074, 0.0016, 4.2120
0.3903, -0.0128, 0.0069, 0.0014, 4.2152
0.3906, -0.0128, 0.0070, 0.0014, 4.2316
0.3920, -0.0125, 0.0071, 0.0013, 4.2337
0.3922, -0.0125, 0.0071, 0.0013, 4.2505
0.3936, -0.0123, 0.0069, 0.0012, 4.2670
0.3949, -0.0121, 0.0067, 0.0011, 4.2694
0.3951, -0.0120, 0.0066, 0.0010, 4.2863
0.3965, -0.0118, 0.0069, 0.0010, 4.3026
0.3978, -0.0117, 0.0069, 0.0009, 4.3035
0.3979, -0.0117, 0.0069, 0.0009, 4.3203
0.3993, -0.0115, 0.0067, 0.0008, 4.3368
0.4005, -0.0114, 0.0065, 0.0007, 4.3534
0.4018, -0.0112, 0.0061, 0.0006, 4.3556
0.4019, -0.0112, 0.0061, 0.0006, 4.3723
0.4031, -0.0111, 0.0057, 0.0006, 4.3735
0.4032, -0.0111, 0.0056, 0.0006, 4.3902
0.4042, -0.0110, 0.0052, 0.0005, 4.3913
0.4043, -0.0110, 0.0052, 0.0005, 4.4080
0.4052, -0.0109, 0.0048, 0.0005, 4.4101
0.4054, -0.0109, 0.0048, 0.0005, 4.4267
0.4062, -0.0108, 0.0044, 0.0004, 4.4279
0.4063, -0.0108, 0.0044, 0.0004, 4.4447
0.4071, -0.0107, 0.0040, 0.0004, 4.4613
0.4078, -0.0106, 0.0037, 0.0003, 4.4781
0.4086, -0.0106, 0.0040, 0.0003, 4.4814
0.4088, -0.0106, 0.0041, 0.0003, 4.4975
0.4097, -0.0105, 0.0048, 0.0003, 4.4988
0.4098, -0.0105, 0.0048, 0.0003, 4.5156
0.4109, -0.0105, 0.0057, 0.0002, 4.5320
0.4122, -0.0104, 0.0062, 0.0002, 4.5486
0.4134, -0.0104, 0.0064, 0.0002, 4.5502
0.4135, -0.0104, 0.0064, 0.0002, 4.5667
0.4149, -0.0103, 0.0070, 0.0002, 4.5838
0.4165, -0.0103, 0.0078, 0.0002, 4.5861
0.4167, -0.0103, 0.0078, 0.0002, 4.6027
0.4183, -0.0103, 0.0081, 0.0001, 4.6051
0.4186, -0.0103, 0.0081, 0.0001, 4.6219
0.4202, -0.0102, 0.0081, 0.0001, 4.6382
0.4218, -0.0102, 0.0079, 0.0001, 4.6407
0.4220, -0.0102, 0.0078, 0.0001, 4.6572
0.4235, -0.0102, 0.0075, 0.0001, 4.6598
0.4237, -0.0102, 0.0074, 0.0001, 4.6762
0.4251, -0.0102, 0.0070, 0.0001, 4.6929
0.4264, -0.0102, 0.0065, 0.0001, 4.6940
0.4265, -0.0102, 0.0065, 0.0001, 4.7107
0.4277, -0.0101, 0.0060, 0.0001, 4.7554
0.4288, -0.0101, 0.0056, 0.0001, 4.7591
0.4310, -0.0101, 0.0059, 0.0001, 4.7753
0.4321, -0.0101, 0.0057, 0.0001, 4.7764
0.4322, -0.0101, 0.0057, 0.0001, 4.7932
0.4333, -0.0101, 0.0054, 0.0000, 4.8101
0.4344, -0.0101, 0.0057, 0.0000, 4.8122
0.4346, -0.0101, 0.0057, 0.0000, 4.8289
0.4357, -0.0101, 0.0057, 0.0000, 4.8456
0.4368, -0.0101, 0.0056, 0.0000, 4.8476
0.4370, -0.0101, 0.0056, 0.0000, 4.8647
0.4382, -0.0101, 0.0060, 0.0000, 4.8673
0.4384, -0.0101, 0.0061, 0.0000, 4.8839
0.4397, -0.0101, 0.0068, 0.0000, 4.8861
0.4399, -0.0101, 0.0068, 0.0000, 4.9028
0.4413, -0.0100, 0.0070, 0.0000, 4.9197
0.4428, -0.0100, 0.0077, 0.0000, 4.9220
0.4431, -0.0100, 0.0077, 0.0000, 4.9386
0.4447, -0.0100, 0.0079, 0.0000, 4.9414
0.4449, -0.0100, 0.0079, 0.0000, 4.9579
0.4467, -0.0100, 0.0090, 0.0000, 4.9742
0.4486, -0.0100, 0.0096, 0.0000, 4.9909
0.4506, -0.0100, 0.0103, 0.0000, 4.9920
0.4508, -0.0100, 0.0103, 0.0000, 5.0086
0.4529, -0.0100, 0.0105, 0.0000, 5.0252
0.4550, -0.0100, 0.0104, 0.0000, 5.0283
0.4553, -0.0100, 0.0105, 0.0000, 5.0448
0.4575, -0.0100, 0.0107, 0.0000, 5.0479
0.4578, -0.0100, 0.0107, -0.0001, 5.0644
0.4599, -0.0102, 0.0105, -0.0007, 5.0674
0.4603, -0.0102, 0.0105, -0.0008, 5.0839
0.4624, -0.0104, 0.0107, -0.0011, 5.0869
0.4628, -0.0104, 0.0108, -0.0011, 5.1032
0.4651, -0.0107, 0.0112, -0.0013, 5.1041
0.4652, -0.0107, 0.0112, -0.0013, 5.1210
0.4674, -0.0110, 0.0112, -0.0014, 5.1373
0.4696, -0.0113, 0.0109, -0.0014, 5.1540
0.4717, -0.0116, 0.0105, -0.0014, 5.1553
0.4718, -0.0116, 0.0105, -0.0014, 5.1719
0.4739, -0.0119, 0.0105, -0.0014, 5.1886
0.4760, -0.0121, 0.0103, -0.0013, 5.1917
0.4763, -0.0122, 0.0103, -0.0013, 5.2080
0.4784, -0.0124, 0.0104, -0.0012, 5.2100
0.4787, -0.0125, 0.0104, -0.0012, 5.2268
0.4807, -0.0127, 0.0102, -0.0011, 5.2437
0.4828, -0.0129, 0.0105, -0.0010, 5.2460
0.4832, -0.0129, 0.0105, -0.0010, 5.2628
0.4852, -0.0131, 0.0103, -0.0009, 5.2640
0.4854, -0.0131, 0.0104, -0.0009, 5.2805
0.4875, -0.0133, 0.0106, -0.0009, 5.2813
0.4876, -0.0133, 0.0106, -0.0009, 5.2980
0.4897, -0.0135, 0.0105, -0.0008, 5.3004
0.4900, -0.0135, 0.0104, -0.0008, 5.3168
0.4921, -0.0136, 0.0107, -0.0007, 5.3335
0.4942, -0.0137, 0.0106, -0.0006, 5.3355
0.4945, -0.0138, 0.0106, -0.0006, 5.3524
0.4965, -0.0139, 0.0103, -0.0006, 5.3691
0.4986, -0.0140, 0.0104, -0.0005, 5.3720
0.4990, -0.0140, 0.0105, -0.0005, 5.3884
0.5011, -0.0141, 0.0109, -0.0005, 5.3894
0.5013, -0.0141, 0.0109, -0.0005, 5.4060
0.5034, -0.0142, 0.0108, -0.0004, 5.4230
0.5057, -0.0143, 0.0112, -0.0004, 5.4391
0.5079, -0.0143, 0.0111, -0.0003, 5.4400
0.5080, -0.0143, 0.0111, -0.0003, 5.4567
0.5101, -0.0144, 0.0108, -0.0003, 5.4733
