Ruslan.vsk Ruslan Cal 03.csv
frame_id   3207, param1 -062, param2 -182
frame_id   3208, param1 -061, param2 -183
frame_id   3209, param1 -060, param2 -183
frame_id   3210, param1 -059, param2 -184
frame_id   3211, param1 -058, param2 -185
frame_id   3212, param1 -057, param2 -186
frame_id   3213, param1 -056, param2 -186
frame_id   3214, param1 -056, param2 -186
frame_id   3215, param1 -055, param2 -186
frame_id   3216, param1 -055, param2 -186
frame_id   3217, param1 -054, param2 -186
frame_id   3218, param1 -054, param2 -185
frame_id   3219, param1 -054, param2 -186
frame_id   3220, param1 -053, param2 -186
frame_id   3221, param1 -053, param2 -185
frame_id   3222, param1 -053, param2 -185
frame_id   3223, param1 -053, param2 -185
frame_id   3224, param1 -053, param2 -185
frame_id   3225, param1 -053, param2 -185
frame_id   3226, param1 -053, param2 -185
frame_id   3227, param1 -053, param2 -185
frame_id   3228, param1 -053, param2 -184
frame_id   3229, param1 -053, param2 -184
frame_id   3230, param1 -053, param2 -185
frame_id   3231, param1 -054, param2 -184
frame_id   3232, param1 -054, param2 -184
frame_id   3233, param1 -054, param2 -184
frame_id   3234, param1 -055, param2 -183
frame_id   3235, param1 -055, param2 -182
frame_id   3236, param1 -056, param2 -182
frame_id   3237, param1 -058, param2 -124
frame_id   3238, param1 -059, param2 -121
frame_id   3239, param1 -059, param2 -121
frame_id   3240, param1 -060, param2 -122
frame_id   3241, param1 -061, param2 -122
frame_id   3242, param1 -062, param2 -123
frame_id   3243, param1 -063, param2 -123
frame_id   3244, param1 -063, param2 -123
frame_id   3245, param1 -064, param2 -124
frame_id   3246, param1 -065, param2 -125
frame_id   3247, param1 -066, param2 -125
frame_id   3248, param1 -067, param2 -126
frame_id   3249, param1 -068, param2 -126
frame_id   3250, param1 -069, param2 -127
frame_id   3251, param1 -070, param2 -127
frame_id   3252, param1 -071, param2 -128
frame_id   3253, param1 -072, param2 -128
frame_id   3254, param1 -073, param2 -128
frame_id   3255, param1 -074, param2 -129
frame_id   3256, param1 -075, param2 -130
frame_id   3257, param1 -076, param2 -131
frame_id   3258, param1 -077, param2 -132
frame_id   3259, param1 -078, param2 -132
frame_id   3260, param1 -080, param2 -133
frame_id   3261, param1 -081, param2 -134
frame_id   3262, param1 -082, param2 -134
frame_id   3263, param1 -083, param2 -135
frame_id   3264, param1 -085, param2 -135
frame_id   3265, param1 -086, param2 -135
frame_id   3266, param1 -087, param2 -136
frame_id   3267, param1 -088, param2 -137
frame_id   3268, param1 -089, param2 -138
frame_id   3269, param1 -090, param2 -139
frame_id   3270, param1 -091, param2 -139
frame_id   3271, param1 -092, param2 -141
frame_id   3272, param1 -093, param2 -141
frame_id   3273, param1 -094, param2 -142
frame_id   3274, param1 -094, param2 -143
frame_id   3275, param1 -095, param2 -144
frame_id   3276, param1 -095, param2 -145
frame_id   3277, param1 -096, param2 -146
frame_id   3278, param1 -096, param2 -147
frame_id   3279, param1 -096, param2 -147
frame_id   3280, param1 -096, param2 -148
frame_id   3281, param1 -097, param2 -150
frame_id   3282, param1 -097, param2 -151
frame_id   3283, param1 -097, param2 -149
frame_id   3284, param1 -098, param2 -145
frame_id   3285, param1 -093, param2 -121
frame_id   3286, param1 -085, param2 -107
frame_id   3287, param1 -083, param2 -157
frame_id   3288, param1 -083, param2 -181
frame_id   3289, param1 -084, param2 -186
frame_id   3290, param1 -084, param2 -189
frame_id   3291, param1 -084, param2 -192
frame_id   3292, param1 -089, param2 -204
frame_id   3293, param1 -085, param2 -193
frame_id   3294, param1 -085, param2 -189
frame_id   3295, param1 -085, param2 -185
frame_id   3296, param1 -086, param2 -180
frame_id   3297, param1 -086, param2 -176
frame_id   3298, param1 -087, param2 -171
frame_id   3299, param1 -087, param2 -167
frame_id   3300, param1 -104, param2 -171
frame_id   3301, param1 -101, param2 -166
frame_id   3302, param1 -099, param2 -172
frame_id   3303, param1 -098, param2 -173
frame_id   3304, param1 -100, param2 -169
frame_id   3305, param1 -101, param2 -166
frame_id   3306, param1 -100, param2 -166
frame_id   3307, param1 -100, param2 -166
frame_id   3308, param1 -100, param2 -167
frame_id   3309, param1 -099, param2 -167
frame_id   3310, param1 -099, param2 -167
frame_id   3311, param1 -099, param2 -167
frame_id   3312, param1 -098, param2 -167
frame_id   3313, param1 -098, param2 -167
frame_id   3314, param1 -097, param2 -167
frame_id   3315, param1 -097, param2 -167
frame_id   3316, param1 -096, param2 -167
frame_id   3317, param1 -096, param2 -168
frame_id   3318, param1 -095, param2 -169
frame_id   3319, param1 -094, param2 -169
frame_id   3320, param1 -095, param2 -170
frame_id   3321, param1 -094, param2 -171
frame_id   3322, param1 -093, param2 -171
frame_id   3323, param1 -093, param2 -172
frame_id   3324, param1 -092, param2 -172
frame_id   3325, param1 -091, param2 -172
frame_id   3326, param1 -090, param2 -172
frame_id   3327, param1 -089, param2 -172
frame_id   3328, param1 -088, param2 -172
frame_id   3329, param1 -088, param2 -173
frame_id   3330, param1 -087, param2 -173
frame_id   3331, param1 -086, param2 -173
frame_id   3332, param1 -089, param2 -171
frame_id   3333, param1 -090, param2 -154
frame_id   3334, param1 -085, param2 -117
frame_id   3335, param1 -086, param2 -028
frame_id   3336, param1 -084, param2 -015
frame_id   3337, param1 -083, param2 -009
frame_id   3338, param1 -083, param2 -002
frame_id   3340, param1 -082, param2 0000
frame_id   3341, param1 -081, param2 0000
frame_id   3342, param1 -080, param2 -001
frame_id   3343, param1 -080, param2 -001
frame_id   3344, param1 -079, param2 -001
frame_id   3345, param1 -078, param2 -001
frame_id   3346, param1 -077, param2 0000
frame_id   3347, param1 -077, param2 0000
frame_id   3348, param1 -076, param2 0000
frame_id   3412, param1 -052, param2 -126
frame_id   3413, param1 -053, param2 -113
frame_id   3414, param1 -053, param2 -111
frame_id   3415, param1 -053, param2 -111
frame_id   3416, param1 -053, param2 -111
frame_id   3417, param1 -054, param2 -111
frame_id   3418, param1 -054, param2 -111
frame_id   3419, param1 -054, param2 -110
frame_id   3420, param1 -054, param2 -110
frame_id   3421, param1 -055, param2 -110
frame_id   3422, param1 -055, param2 -110
frame_id   3423, param1 -055, param2 -110
frame_id   3424, param1 -056, param2 -110
frame_id   3425, param1 -056, param2 -110
frame_id   3426, param1 -056, param2 -110
frame_id   3427, param1 -056, param2 -110
frame_id   3428, param1 -056, param2 -110
frame_id   3429, param1 -057, param2 -110
frame_id   3430, param1 -057, param2 -110
frame_id   3431, param1 -057, param2 -110
frame_id   3432, param1 -057, param2 -110
frame_id   3433, param1 -057, param2 -110
frame_id   3434, param1 -057, param2 -109
frame_id   3435, param1 -058, param2 -109
frame_id   3436, param1 -058, param2 -109
frame_id   3437, param1 -058, param2 -109
frame_id   3438, param1 -058, param2 -109
frame_id   3439, param1 -058, param2 -108
frame_id   3440, param1 -058, param2 -109
frame_id   3441, param1 -058, param2 -109
frame_id   3442, param1 -058, param2 -109
frame_id   3443, param1 -058, param2 -109
frame_id   3444, param1 -058, param2 -109
frame_id   3445, param1 -059, param2 -109
frame_id   3446, param1 -059, param2 -109
frame_id   3447, param1 -059, param2 -109
frame_id   3448, param1 -059, param2 -108
frame_id   3449, param1 -059, param2 -108
frame_id   3450, param1 -059, param2 -108
frame_id   3451, param1 -059, param2 -108
frame_id   3452, param1 -059, param2 -108
frame_id   3453, param1 -059, param2 -108
frame_id   3454, param1 -060, param2 -108
frame_id   3455, param1 -060, param2 -108
frame_id   3456, param1 -060, param2 -108
frame_id   3457, param1 -060, param2 -107
frame_id   3458, param1 -060, param2 -107
frame_id   3459, param1 -060, param2 -107
frame_id   3460, param1 -060, param2 -107
frame_id   3461, param1 -060, param2 -107
frame_id   3462, param1 -060, param2 -107
frame_id   3463, param1 -060, param2 -107
frame_id   3464, param1 -060, param2 -107
frame_id   3465, param1 -060, param2 -107
frame_id   3466, param1 -060, param2 -107
frame_id   3467, param1 -060, param2 -107
frame_id   3468, param1 -060, param2 -106
frame_id   3469, param1 -060, param2 -107
frame_id   3470, param1 -060, param2 -106
frame_id   3471, param1 -060, param2 -106
frame_id   3472, param1 -064, param2 -110
frame_id   3473, param1 -069, param2 -114
frame_id   3474, param1 -071, param2 -115
frame_id   3475, param1 -070, param2 -114
frame_id   3476, param1 -067, param2 -108
frame_id   3477, param1 -067, param2 -094
frame_id   3478, param1 -067, param2 -096
frame_id   3479, param1 -067, param2 -106
frame_id   3480, param1 -067, param2 -114
frame_id   3481, param1 -066, param2 -121
frame_id   3482, param1 -066, param2 -127
frame_id   3733, param1 -083, param2 -122
frame_id   3734, param1 -086, param2 -127
frame_id   3735, param1 -086, param2 -128
frame_id   3736, param1 -086, param2 -128
frame_id   3737, param1 -102, param2 -081
frame_id   3738, param1 -105, param2 -082
frame_id   3739, param1 -106, param2 -083
frame_id   3740, param1 -106, param2 -084
frame_id   3741, param1 -105, param2 -085
frame_id   3742, param1 -105, param2 -085
frame_id   3743, param1 -104, param2 -086
frame_id   3744, param1 -103, param2 -086
frame_id   3745, param1 -102, param2 -086
frame_id   3746, param1 -101, param2 -086
frame_id   3747, param1 -100, param2 -086
frame_id   3748, param1 -099, param2 -086
frame_id   3749, param1 -070, param2 -026
frame_id   3750, param1 -057, param2 -027
frame_id   3762, param1 -038, param2 -098
frame_id   3763, param1 -039, param2 -109
frame_id   3764, param1 -037, param2 -126
frame_id   3765, param1 -038, param2 -131
frame_id   3766, param1 -045, param2 -130
frame_id   3767, param1 -045, param2 -135
frame_id   3768, param1 -046, param2 -138
frame_id   3769, param1 -048, param2 -145
frame_id   3770, param1 -048, param2 -146
frame_id   3771, param1 -047, param2 -147
frame_id   3772, param1 -054, param2 -043
frame_id   3778, param1 -055, param2 -019
frame_id   3779, param1 -056, param2 -022
frame_id   3780, param1 -057, param2 -022
frame_id   3781, param1 -057, param2 -023
frame_id   3782, param1 -057, param2 -023
frame_id   3783, param1 -058, param2 -023
frame_id   3784, param1 -058, param2 -023
frame_id   3785, param1 -059, param2 -023
frame_id   3786, param1 -060, param2 -023
frame_id   3787, param1 -060, param2 -023
frame_id   3788, param1 -061, param2 -023
frame_id   3789, param1 -061, param2 -023
frame_id   3790, param1 -061, param2 -023
frame_id   3791, param1 -062, param2 -023
frame_id   3792, param1 -062, param2 -023
frame_id   3793, param1 -063, param2 -023
frame_id   3794, param1 -063, param2 -022
frame_id   3795, param1 -063, param2 -022
frame_id   3796, param1 -064, param2 -022
frame_id   3797, param1 -064, param2 -021
frame_id   3798, param1 -065, param2 -020
frame_id   3799, param1 -065, param2 -019
frame_id   3800, param1 -065, param2 -018
frame_id   3801, param1 -064, param2 -018
frame_id   3802, param1 -064, param2 -016
frame_id   3803, param1 -064, param2 -014
