Ruslan.vsk Ruslan Cal 03.csv
frame_id   3122, param1 -074, param2 0051
frame_id   3123, param1 -075, param2 0049
frame_id   3124, param1 -077, param2 0048
frame_id   3125, param1 -078, param2 0046
frame_id   3126, param1 -079, param2 0045
frame_id   3127, param1 -055, param2 -176
frame_id   3128, param1 -055, param2 -165
frame_id   3129, param1 -056, param2 -163
frame_id   3130, param1 -057, param2 -162
frame_id   3131, param1 -058, param2 -160
frame_id   3132, param1 -059, param2 -159
frame_id   3133, param1 -060, param2 -157
frame_id   3134, param1 -061, param2 -156
frame_id   3135, param1 -062, param2 -154
frame_id   3136, param1 -063, param2 -153
frame_id   3137, param1 -064, param2 -152
frame_id   3138, param1 -065, param2 -151
frame_id   3139, param1 -066, param2 -150
frame_id   3140, param1 -066, param2 -150
frame_id   3141, param1 -067, param2 -149
frame_id   3142, param1 -068, param2 -148
frame_id   3143, param1 -069, param2 -147
frame_id   3144, param1 -070, param2 -147
frame_id   3145, param1 -069, param2 -149
frame_id   3146, param1 -070, param2 -150
frame_id   3147, param1 -068, param2 -143
frame_id   3148, param1 -070, param2 -144
frame_id   3149, param1 -072, param2 -144
frame_id   3150, param1 -073, param2 -144
frame_id   3151, param1 -074, param2 -143
frame_id   3152, param1 -075, param2 -142
frame_id   3153, param1 -076, param2 -142
frame_id   3154, param1 -077, param2 -142
frame_id   3155, param1 -078, param2 -141
frame_id   3156, param1 -079, param2 -141
frame_id   3157, param1 -080, param2 -141
frame_id   3158, param1 -081, param2 -141
frame_id   3159, param1 -082, param2 -140
frame_id   3160, param1 -083, param2 -140
frame_id   3161, param1 -084, param2 -140
frame_id   3162, param1 -085, param2 -140
frame_id   3163, param1 -086, param2 -140
frame_id   3164, param1 -087, param2 -139
frame_id   3165, param1 -087, param2 -139
frame_id   3166, param1 -088, param2 -139
frame_id   3167, param1 -089, param2 -139
frame_id   3168, param1 -089, param2 -139
frame_id   3169, param1 -089, param2 -139
frame_id   3170, param1 -090, param2 -139
frame_id   3171, param1 -090, param2 -139
frame_id   3172, param1 -090, param2 -139
frame_id   3173, param1 -090, param2 -139
frame_id   3174, param1 -090, param2 -138
frame_id   3175, param1 -090, param2 -138
frame_id   3176, param1 -090, param2 -138
frame_id   3177, param1 -090, param2 -138
frame_id   3178, param1 -089, param2 -138
frame_id   3179, param1 -089, param2 -138
frame_id   3180, param1 -089, param2 -137
frame_id   3181, param1 -088, param2 -137
frame_id   3182, param1 -088, param2 -137
frame_id   3183, param1 -087, param2 -137
frame_id   3184, param1 -087, param2 -137
frame_id   3185, param1 -086, param2 -137
frame_id   3186, param1 -085, param2 -137
frame_id   3187, param1 -084, param2 -136
frame_id   3188, param1 -083, param2 -136
frame_id   3189, param1 -083, param2 -135
frame_id   3190, param1 -082, param2 -135
frame_id   3191, param1 -081, param2 -135
frame_id   3192, param1 -080, param2 -134
frame_id   3193, param1 -079, param2 -134
frame_id   3194, param1 -078, param2 -134
frame_id   3195, param1 -077, param2 -134
frame_id   3196, param1 -076, param2 -134
frame_id   3197, param1 -075, param2 -134
frame_id   3198, param1 -073, param2 -174
frame_id   3199, param1 -072, param2 -177
frame_id   3200, param1 -071, param2 -178
frame_id   3201, param1 -070, param2 -179
frame_id   3202, param1 -068, param2 -179
frame_id   3203, param1 -067, param2 -180
frame_id   3204, param1 -066, param2 -180
frame_id   3205, param1 -065, param2 -181
frame_id   3206, param1 -063, param2 -181
frame_id   3207, param1 -062, param2 -182
frame_id   3208, param1 -061, param2 -183
frame_id   3209, param1 -060, param2 -183
frame_id   3210, param1 -059, param2 -184
frame_id   3211, param1 -058, param2 -185
frame_id   3212, param1 -057, param2 -186
frame_id   3213, param1 -056, param2 -186
frame_id   3214, param1 -056, param2 -186
frame_id   3215, param1 -055, param2 -186
frame_id   3216, param1 -055, param2 -186
frame_id   3217, param1 -054, param2 -186
frame_id   3218, param1 -054, param2 -185
frame_id   3219, param1 -054, param2 -186
frame_id   3220, param1 -053, param2 -186
frame_id   3221, param1 -053, param2 -185
frame_id   3222, param1 -053, param2 -185
frame_id   3223, param1 -053, param2 -185
frame_id   3224, param1 -053, param2 -185
frame_id   3225, param1 -053, param2 -185
frame_id   3226, param1 -053, param2 -185
frame_id   3227, param1 -053, param2 -185
frame_id   3228, param1 -053, param2 -184
frame_id   3229, param1 -053, param2 -184
